Label,text
0,"Доповідь про напади на витрати на оборону

Міністерство оборони піддалося критиці через зростаючі витрати та затримки у виконанні своїх найбільших проектів.

У звіті Національного аудиторського офісу про 20 найбільших проектів зазначається, що витрати зросли на 1,7 мільярда фунтів стерлінгів за минулий рік. У звіті сказано, що ""доказів"" покращення роботи Міністерства оборони (MoD) ""дуже мало"", незважаючи на введення політики ""розумних закупівель"" шість років тому. Високопосадовець оборонного відомства повідомив BBC, що уроки будуть засвоєні. Щорічний звіт НАО показав, що загальна вартість 20 проектів, які розглядалися, мала досягти 50 мільярдів фунтів стерлінгів - на 14% більше, ніж планувалося спочатку. Загальні затримки становили 62 місяці, середні індивідуальні затримки зросли на три місяці.

Сер Джон Бурн, голова НАО, зазначив, що ці проблеми свідчать про те, що принципи схеми, відомої як ""розумні закупівлі"", не були послідовно застосовані. ""Багато проблем можна віднести до того, що Міністерство оборони не витратило достатньо часу та ресурсів на фазу оцінки"", - йдеться у звіті. НАО виявив, що проекти, запущені з початку схеми, демонструють ті ж тривожні тенденції, що й старі ""спадкові проекти"", такі як Eurofighter. Високопосадовець оборонного відомства, виступаючи перед колегою BBC з питань оборони Полом Адамсом, сказав, що, хоча цифри все ще були недостатніми, звіт відображав нереалістичні очікування на ранніх етапах проектного циклу. Цьогорічні перевитрати були значно меншими, ніж минулорічні 3,1 мільярда фунтів стерлінгів, і Агентство з закупівлі оборонної продукції - яке відповідає за закупівлю оборонного обладнання - покращувалося.

Лорд Бах, міністр з закупівлі оборонної продукції, заявив, що він ""очевидно все ще розчарований зростанням витрат і часу"", але наполягав на тому, що Агентство з закупівлі оборонної продукції ""здійснило величезну кількість роботи, щоб виявити будь-які приховані проблеми проектів"". Останні дані підтверджують низку критичних звітів, випущених за останні 12 місяців, і, згідно з інформацією нашого кореспондента, містять небагато нових несподіванок. Перетворення Агентства з закупівлі оборонної продукції ""було трохи схоже на спробу розвернути супертанкер - на це дійсно потрібен дуже тривалий час"", - сказав він. Наш кореспондент зазначив, що ті ж самі проекти, включаючи Joint Strike Fighter, літак Nimrod та A400M і есмінець Type 45, були відповідальні за основну частину перевитрат і затримок. Але він додав, що деякі проекти, такі як важкий літак C-17 і система ідентифікації ""Друг або Ворог"" (SIFF), демонстрували хороші результати."
4,"Бразилія зменшує значення порятунку Varig

Уряд Бразилії зменшує значення заяв про те, що він може втрутитися, щоб врятувати найбільшу авіакомпанію країни.

Керівник аеропортів Бразилії Карлос Вілсон стверджував, що уряд на межі втручання для порятунку Varig, авіаційної гордості Бразилії. Однак віце-президент країни Жозе Аленкар заявив, що уряд досі шукає рішення. Varig стикається з величезним борговим тягарем, оціненим у 6,5 мільярда реалів (2,3 мільярда доларів або 1,2 мільярда фунтів стерлінгів). На запитання, чи можливий порятунок після зустрічі Конгресу країни для обговорення кризи авіакомпанії, пан Аленкар відповів: ""Ні, я так не вважаю. Побачимо"".

Раніше пан Вілсон заявив, що президент Луїз Інасіу Лула да Сілва вирішив втрутитися, а декрет про певне втручання може бути підписаний цього тижня. ""На практиці це буде втручанням, хоча це не технічна назва, яка використовується"", — сказав він. Втручання означає, що уряд візьме на себе адміністративний контроль над компанією та її фінансами. Для цього потрібно, щоб головного акціонера Varig, некомерційну Фундацію Рубена Берти, яка представляє працівників авіакомпанії, було усунуто, сказав пан Вілсон. Однак жоден робочий місць не буде втрачене, і авіакомпанія продовжуватиме літати, додав він. Varig, яка працює в 18 країнах, крім Бразилії, опинилася на межі колапсу через економічний спад у країні.

Знецінення валюти Бразилії безпосередньо вплинуло на борг авіакомпанії в доларах, а також на деякі з її витрат. Бізнес нещодавно покращився: попит на авіаперевезення зріс, і відбулося відновлення бразильської економіки. Авіакомпанія також могла отримати значну компенсацію за позовом проти уряду. У вівторок суди призначили Varig 2 мільярди реалів (725 мільйонів доларів) після ухвалення рішення на користь її позову про компенсацію від уряду за замороження тарифів з 1985 по 1992 роки. Але уряд може оскаржити це рішення."
0,"Джемісон попереджає великих біготів

Міністр юстиції Шотландії попередила біготських футбольних фанатів, що вона хоче вдарити їх ""там, де болить найбільше"", заборонивши їм відвідування матчів.

Кеті Джемісон заявила, що заборонні накази є одним з ряду заходів, що розглядаються в рамках кампанії уряду Шотландії проти сакцизму. Вона похвалила ""Селтік"" і ""Рейнджерс"" за їхню роботу у вирішенні цієї проблеми. Однак міністр зазначила, що зупинка сектиантської агресії, пов'язаної з матчами ""Старого дуету"", є ключовою метою. Пані Джемісон виступала напередодні матчу третього раунду Кубка Шотландії між клубами з Глазго в Паркеті в неділю. Сектантство, яке давно асоціюється з певними групами підтримки обох клубів, стало важливою метою для уряду. Минулого тижня пані Джемісон і прем'єр-міністр Джек Макконнел зустрілися з представниками фанатів обох клубів, щоб обговорити цю проблему.

Вони планують провести антисектантський саміт наступного місяця, на якому запросять представників клубів, церковних лідерів, старших поліцейських офіцерів і голів місцевих органів влади. Говорячи в програмі BBC Radio Scotland ""Неділя в прямому ефірі"", пані Джемісон описала зустріч у п'ятницю як ""дуже продуктивну"" і зазначила, що вжиття заходів проти біготів буде ключовою метою. Пані Джемісон підкреслила, що сектантство не обмежується футболом, але може служити ""тригером"" для напруженості та насильства. Клуби вже вжили заходів у минулому, щоб заборонити проблемних фанатів, і групи підтримки висловили бажання забезпечити, щоб гра більше не була забруднена цією проблемою.

Пані Джемісон сказала, що уряд має відігравати роль у боротьбі з футбольними правопорушниками. Вона зазначила: ""Ми не можемо ігнорувати той факт, що в деяких випадках деяка релігійна ненависть, яку деякі люди намагаються асоціювати з футболом, перетворюється на насильство. ""Це те, що ми хочемо зупинити, і це те, з чим групи підтримки дуже чітко заявляють, що не хочуть мати нічого спільного, і вони працюватимуть з нами, щоб спробувати впоратися з цим.""

Пані Джемісон похвалила поліцію за їхні дії і сказала: ""Поліція хоче встановити, чи є конкретні особи, які виходять за межі та викликають ненависть або насильство - вони дуже ефективно вживають заходів проти них. ""Ми, звичайно, вже вказали, що розглянемо можливість запровадження заборонних наказів, щоб надати додаткові повноваження до тих, хто виходить за межі, хто демонструє неналежну поведінку на футбольних матчах, щоб мати можливість заборонити їм відвідування ігор. ""Це те, що вдарить по таких людей там, де найбільше болить, не дозволяючи їм відвідувати матчі,"" - сказала вона. Хвалячи ""Селтік"" і ""Рейнджерс"" за їхні зусилля, вона зазначила: ""Я не думаю, що існують сумніви, що ми побачили деякі позитивні зміни від клубів. ""Обидва футбольні клуби ""Рейнджерс"" і ""Селтік"" були залучені до співпраці з урядом для створення, наприклад, навчального пакета для молоді."""
1,"Чарвіс, ймовірно, не зможе відновитися до матчів

Фланкер Колін Чарвіс, швидше за все, не візьме участі в останніх двох матчах Уельсу в шостих націях.

Чарвіс пропустив усі три перемоги Уельсу через травму щиколотки, і його відновлення проходить повільніше, ніж очікувалося. ""Він не братиме участі в матчі зі Шотландією, і наразі малоймовірно, що він буде готовий до останньої гри,"" - сказав фізіотерапевт Уельсу Марк Девіс. Сонні Паркер продовжує боротися з травмою шиї, але Хал Ласкомб повинний бути готовий до поїздки в Мюррейфілд. Центр Паркер має лише ""невелику ймовірність"" бути залученим до гри проти шотландців 13 березня, тому повернення Ласкомба у форму після пропуску матчу з Францією через проблеми з підколінним сухожиллям є своєчасним підкріпленням.

""Ми налаштовані позитивно щодо Хала та сподіваємось, що він буде готовий працювати,"" - сказав асистент тренера Уельсу Скотт Джонсон. ""Він знову повертається в команду, додає глибини та дає нам інші варіанти."" Заміна хука Робін МакБрайд залишається під питанням після того, як отримав травму зв'язок коліна в Парижі минулої суботи. ""Ми переглядаємо цю ситуацію і повинні дізнатися більше до кінця тижня, як виглядає Робін,"" - додав Джонсон. ""Ми сподіваємося, але на цьому етапі ще занадто рано щось казати."" Якщо МакБрайд не зможе відновитися, ймовірно, до команди залучать Стіва Джонса з Драконів."
4,"Азійські акції не піддаються постземлетрусному смутку

Таїланд став першою з 10 південноазійських країн, які постраждали від величезних хвиль на вихідних, що скоригував свої економічні прогнози.

Тепер очікується, що економіка Таїланду в 2005 році зросте на 5,7%, а не на 6%, як передбачалося до того, як цунамі вразили шість туристичних провінцій. Повні економічні витрати катастрофи залишаються невизначеними. Частково це пов'язано з її масштабом, а також з тим, що надання допомоги та відновлення померлих залишаються пріоритетами. Але індонезійські, індійські та гонконгські фондові ринки досягли рекордних висот у середу, що свідчить про те, що інвестори не бояться значного економічного впливу.

Ці висоти показали розрив у поглядах між інвесторами у великі компанії та особами, які втратили засоби до існування.

Інвестори, як видається, вважають, що деякі з найсильніше постраждалих районів - таких як Ачех в Індонезії - були настільки слабо розвинені, що трагедія мало вплине на компанії, зареєстровані в Азії, згідно з аналітиками. ""Очевидно, що з великою втратою життя потрібно багато часу, щоб прибрати безлад, поховати людей і знайти зниклих. Але це не є насправді великою справою в економічному сенсі,"" сказав головний стратег ABN Amro в Азії Едді Вонг. Індийська біржа в Мумбаї трохи підвищилася вище свого попереднього рекорду закриття у середу. Очікування сильних корпоративних прибутків у 2005 році підштовхнуло індонезійську фондову біржу в Джакарті до рекордної висоти у середу. У Гонконгу індекс Ханг Сенг може частково вигравати від потенціалу своїх зареєстрованих компаній з нерухомості отримувати вигоду від контрактів на відновлення в районах Південно-Східної Азії, постраждалих від цунамі. У Шрі-Ланці деякі економісти сказали, що може бути втрачено до 1% річного зростання. Фондовий ринок Шрі-Ланки впав приблизно на 5% з вихідних, але він все ще на 40% вищий, ніж на початку 2004 року.

Таїланд може втратити 30 мільярдів батів (398 млн фунтів стерлінгів; 768 млн доларів) у доходах від туризму протягом наступних трьох місяців, згідно з міністром туризму Сонтайєю Кунпломом.

У постраждалих провінціях він очікує, що втрати від туристичних доходів будуть компенсовані урядовими витратами на відновлення. Таїланд має намір витратити аналогічну суму - близько 30 мільярдів батів - на відновлювальні роботи. ""Можливо, до четвертого кварталу наступного року туристи в Пхукеті та п'яти інших провінціях повернуться до свого нормального рівня,"" сказав Наріс Чайясут, генеральний директор фіскального політичного офісу міністерства. У Мальдивах витрати на відновлення можуть знищити економічне зростання, згідно зі словами урядового представника. ""Наша країна в небезпеці,"" сказав Ахмед Шахід, головний урядовий спікер. Він оцінив економічні витрати катастрофи в сотні мільйонів доларів. Валовий внутрішній продукт Мальдівів становить 660 мільйонів доларів. ""Не буде дивно, якщо витрати перевищать наш ВВП,"" сказав він. ""В останні кілька років ми зробили великий прогрес у нашому рівні життя - це визнала ООН. Тепер ми бачимо, що це може зникнути за кілька днів, кілька хвилин."" Шахід зазначив, що інвестиції в один туристичний курорт - економічну основу - можуть сягати 40 мільйонів доларів. Від 10 до 12 з приблизно 80 курортів були серйозно пошкоджені, а схожий рух зазнав значних збитків. Проте багато експертів, включаючи Світовий банк, вказали на те, що все ще важко оцінити масштаб катастрофи та її ймовірний економічний вплив."
2,"Франція запускає цифрове ефірне телебачення

Франція стала останньою великою європейською країною, яка запустила послугу цифрового ефірного телебачення (ЦЕT).

Спочатку понад третина населення зможе отримувати 14 безкоштовних каналів. Попри тривале очікування запуску ЦЕT у Франції, прихильники нової платформи сподіваються повторити успіх британського аналогу безкоштовного ефірного телебачення, Freeview. Нещодавні дані регулятора Великобританії Ofcom показали, що Freeview був більш популярним, ніж цифрова супутникова служба Sky. У три місяці до вересня 2004 року на безкоштовну ефірну служби ЦЕT у Великобританії підписалася майже в п'ять разів більше людей, ніж на Sky. Майже 60% домогосподарств у Великобританії перейшли на цифровий формат хоча б на одному телевізорі через кабель, супутник або Freeview.

Французька платформа ЦЕT відома як TNT, що означає ""TV numérique terrestre"" або цифрове ефірне телебачення. Але її брендують як ""Télévision Numérique pour Tous"" або ""цифрове телебачення для всіх"". TNT є спільним підприємством між державним мовником France Télévisions та кількома кабельними та супутниковими операторами. Цифрове ефірне телебачення запуститься як безкоштовна платформа, з подальшим додаванням платних телеканалів. Тридцять п’ять кандидатів подали заявки на додаткові вісім частот, крім уже виділених 14. ""Кілька років тому ЦЕT мала поганий імідж,"" — сказав Олівер Жероламі, головний операційний директор TNT.

""Але всі вражені ЦЕT у Великій Британії, Італії та Німеччині, і вони розуміють, що це дуже хороша ідея. ""Франція є найбіднішим ринком в Європі з точки зору безкоштовних національних каналів, тому має потенціал стати одним з найбільших ринків ЦЕT,"" — додав пан Жероламі в коментарях, процитованих американською розважальною газетою Variety. TNT планує охопити на момент запуску 35% населення Франції з 17 передавальних станцій. Територія трансляції спочатку включатиме Париж, Лілль, Ліон та Тулузу. Згодом буде 115 станцій, які охоплять понад 80% домогосподарств. Цифрові ефірні телевізійні приймачі доступні за ціною від 70 євро (50 фунтів стерлінгів). Нещодавнє опитування компанії Mediametrie показало, що 70% опитаних були обізнані про ЦЕT, а 25% планували купити цифровий приймач. Виробники електроніки, такі як Nokia, Sagem, Sony та Thomson, готуються до виробництва. Вища рада аудіовізуальних ЗМІ Франції (CSA) зазначила: ""Після нещодавнього успіху Freeview у Великобританії деякі виробники оптимістично оцінюють перспективи продажу"". Аналітики вважають, що спочатку більшість глядачів куплять недорогі телевізійні приймачі, які не можуть підтримувати інтерактивні сервіси. CSA повідомила, що поточна мета досягти 85% населення до 2007 року є досяжною, але майбутнє залишкових телевізійних глядачів вимагатиме дій з боку державного сектору. В основному це люди, які живуть у гірських або прикордонних районах, які протягом багатьох років залишатимуться поза зоною дії цифрового ефірного телебачення.

До 15 платних телеканалів запуститься на ЦЕT між вереснем 2005 року та березнем 2006 року. Провідні оператори платного телебачення Canal Plus і TPS подали заявки для маркетингу наборів каналів. Безкоштовні послуги транслюватимуться у форматі MPEG-2. Але платні оператори зможуть транслювати в форматі MPEG-4 — значно кращій технології стиснення, що потенційно дозволить у майбутньому надання послуг підписки у високій чіткості (HD). TNT очікує продажу від 700 тисяч до одного мільйона телевізійних приймачів ЦЕT у 2005 році. ""Важко сказати, наскільки швидко це відбудеться,"" — сказав пан Жероламі, ""але ми оптимістичні щодо того, що це революціонізує телебачення у Франції."" Інші аналітики були менш оптимістичні, прогнозуючи, що споживачі тепер будуть менш схильні підписуватися на платний телебачення. ""Ми вважаємо, що безкоштовне ЦЕT може гальмувати основний ріст платного телебачення у Франції,"" — сказав Анрі де Бодінам, віце-президент консалтингової компанії Артура Д. Літла."
1,"Надаль продовжує свій шлях у Мексиці

Рафаель Надаль продовжив свою відмінну гру, обігравши Гільєрмо Каньяса та вийшовши до півфіналу Відкритого чемпіонату Мексики в Акапулько.

Восьмий сіяний Надаль, який здобув свій другий титул ATP, обігравши Альберто Мартіна на Відкритому чемпіонаті Бразилії минулого тижня, переміг аргентинця, третього сіяного, з рахунком 7-5 6-3. Тепер він зустрінеться з аргентинським вайлд-кардом Маріано Пертою, який після перемоги над першим сіяним Карлосом Мойєю обіграв Фелікса Мантілью з Іспанії з рахунком 6-4 3-6 7-6. Чеський п’ятий сіяний Їржі Новак був вибитий з турніру Агустіном Калері з рахунком 7-5 6-1. Несеяний аргентинець, який вигравав турнір два роки тому, тепер зіграє з іспанцем Альбертом Монтенесом. Монтенес вийшов до свого першого півфіналу року, здолавши шостого сіяного італійця Філіппо Воландрі з рахунком 4-6 6-3 6-4. Аргентинець Агустін Калері обіграв четвертого сіяного Їржі Новака 7-5 6-1 у протистоянні колишніх чемпіонів Відкритого чемпіонату Мексики. Калері виграв свій єдиний титул ATP в Акапулько два роки тому, тоді як Новак виграв одиночний та парний титули в 1998 році. Калері зіграє з Альбертом Монтенесом у півфіналі після того, як іспанець вибив шостого сіяного Філіппо Воландрі з Італії з рахунком 4-6 6-3 6-4. Аргентинський вайлд-кард Маріано Пуарта продовжив свій неймовірний шлях, витривало здолавши Фелікса Мантілью з рахунком 6-4 3-6 7-6."
2,"Повільний початок швидкісних інтернет-послуг

Швидший широкосмуговий зв'язок у Великій Британії стає реальністю, оскільки дедалі більше інтернет-провайдерів пропонують супер-швидкі послуги.

Дехто з щасливих британців вже може скористатися послугою UK Online з швидкістю 8 мегабіт на секунду, яка була запущена в листопаді 2004 року. BT Retail оголосила, що проводить випробування такої ж послуги, з національним запуском до кінця року. Очікується, що й інші провайдери послуг підуть за прикладом, а також з’явиться безліч нових голосових та відео-сервісів.

""Якщо є пропускна здатність, то інтернет-провайдери її купуватимуть"", - сказала Джилл Фінгер, директор з досліджень аналітичної фірми IDC. Інші стежитимуть за випробуваннями BT Retail, які спочатку проходять для співробітників, а пізніше влітку - для клієнтів, з інтересом. Для BT Retail, зазначила вона, супер-швидка послуга може стати способом відрізнити її від інших гравців. ""Вона втратила частку ринку, і це може бути одним зі способів повернути деяку частину назад"", - сказала пані Фінгер. Wanadoo планує протестувати послугу 8Mbps влітку та також має намір запустити неконтрольовані послуги - це означає, що вона бере на себе мережу від BT - що забезпечить швидкість до 15Mbps. На даний момент немає графіка для цього. Кабельні компанії ntl та Telewest також будуть змушені збільшити пропускну здатність в якийсь момент у майбутньому, і, за словами представника ntl, вони перебувають у кращій позиції, ніж BT в довгостроковій перспективі. ""Мережа BT обмежена в порівнянні з кабельною. З усіма іншими послугами, які з'являються, такими як відео за запитом, питання в тому: чи буде 8Mbps достатньо?"" - запитав він."
0,"Галлоуей виступає проти депутата від «Нових лейбористів»

Джордж Галлоуей виставить свою кандидатуру проти депутата від Лейбористської партії Оони Кінг, яка підтримує війну в Іраку, на наступних загальних виборах.

Галлоуей, який в четвер отримав 150 000 фунтів стерлінгів у вигляді компенсації за наклеп від Daily Telegraph, заявив, що буде балотуватися в Бетнал Грін, у Лондоні, від партії Respect. Депутат від Глазго Келвін, якого виключили з Лейбористської партії через його антивоєнну позицію щодо Іраку, звинуватив пані Кінг у тому, що вона є ""підстилкою Нових лейбористів"". Пані Кінг сказала, що вона ""в захваті"" від можливості виступити проти пана Галлоуея.

Виборчий округ пана Галлоуея на даний момент планується закрити внаслідок змін меж округів у Шотландії.

50-річний депутат заснував партію Respect, Об'єднану коаліцію, у січні разом із 1000 антивоєнними активістами та Мусульманською асоціацією Великобританії. Декларовані цілі партії – закінчення окупації Іраку, скасування антипрофспілкових законів та припинення приватизації. Говорячи з кафе на Брик Лейн, у східному Лондоні, пан Галлоуей сказав, що прийняв запрошення партії балотуватися з ""великою честю та гордістю"".

Він додав: ""Тут, у цьому виборчому окрузі Бетнал Грін і Боу, є підстилка Нових лейбористів. ""Підстилка, яка заспіває будь-яку пісню, виголосить будь-яку промову, виступить в будь-якому танці, зробить все, що їй скаже Тоні Блер – незалежно від того, як це негативно вплине на її виборців або як сильно вони виступають проти цього."" Пані Кінг представляє цей округ з 1997 року. Вона сказала: ""Я в захваті, що мені дали можливість покінчити з ним (паном Галлоуеєм), і, повірте, я це зроблю. ""Я знаю, що багато людей по всій країні будуть вдячні, не в останню чергу його виборцям у Шотландії, яких він безсоромно залишив."" На виборах до Європейського парламенту в червні партія Respect не змогла отримати достатню кількість голосів для обрання депутата, проте зайняла перше місце в окрузі Тауер Хемлетс, більша частина якого покриває округ Бетнал Грін і Боу.

Через місяць вона здобула місце в раді на довиборах у районі Святого Дунстана і Степні Грін, Тауер Хемлетс. Пан Галлоуей сказав, що на очікуваних загальних виборах наступного року та місцевих виборах через рік партія ""перетворить Східний Лондон на фортецю"". Як Консерватори, так і Ліберал-демократи обрали потенційних парламентських кандидатів на посаду депутата від Бетнал Грін і Боу з пакистанської громади, яка складає майже половину виборців. Газета Telegraph була позивалась до суду за наклеп паном Галлоеєм після того, як видання стверджувало, що він отримував гроші від режиму Саддама Хусейна в Іраку. Газета заявила, що публікація таких звинувачень, ґрунтуючись на документах, знайдених у Багдаді, є суспільним інтересом. Суддя Іді заявив, що він ""зобов'язаний компенсувати пану Галлоею… та зробити виплату з метою відновлення його репутації""."
2,"Скрінсейвер бореться зі спам-сайтами

Користувачі мережі отримали можливість протистояти спам-сайтам.

Інтернет-портал Lycos створив скрінсейвер, який безперервно запитує дані з сайтів, що продають товари та послуги, згадані в спам-електронних листах. Lycos сподівається, що це призведе до значного зростання щомісячних рахунків за трафік спамерів, змушуючи їхні сервери працювати на повну потужність. Компанія оцінює, що якщо достатня кількість людей зареєструється та завантажить цей інструмент, спамери можуть змушені будуть платити за розсилку тербайтів даних.

""Ми ніколи справді не вирішували велику проблему спаму, яка полягає в тому, що це настільки дешеве і легке заняття"", – сказав Мальте Поллманн, речник Lycos Europe. ""Раніше ми створювали системи фільтрації спаму для наших користувачів"", додав він, ""але тепер ми дійдемо ще одного кроку далі"".

""Ми знайшли спосіб зробити це набагато дорожчим для спамерів, навантажуючи їхні сервери"". Залучивши тисячі людей завантажити та використовувати скрінсейвер, Lycos сподівається змусити спам-сайти працювати на майже максимальній потужності. Пан Поллманн зазначив, що немає наміру зупиняти роботу спам-сайтів, навантажуючи їх за допомогою занадто великої кількості даних. Він сказав, що скрінсейвер був ретельно написаний, щоб забезпечити те, що обсяг трафіку, який він генерував від кожного користувача, не перевантажував мережу. ""Кожен окремий користувач буде вносити три-чотири мегабайти на день"", – сказав він, ""приблизно один MP3-файл"". Але, за його словами, якщо достатня кількість людей зареєструється, спам-сайти можуть бути змушені платити за гигабайти трафіку кожного дня. Lycos не хотів використовувати електронну пошту для контратак, сказав пан Поллманн. ""Це було б боротися з однією поганою річчю за допомогою іншої поганої речі"", – додав він.

Сайти, які стають цілями, – це ті, що згадуються в спам-електронних листах і які продають пропоновані товари та послуги.

Зазвичай ці сайти відрізняються від тих, які раніше надсилали спам-електронні листи, і вони зазвичай отримують лише кілька тисяч відвідувачів на день. Список сайтів, які буде націлено скрінсейвером, взятий з чорних списків в режимі реального часу, створених такими організаціями, як Spamcop. Щоб обмежити ймовірність помилок, Lycos використовує людей для підтвердження того, що сайти продають спам-товари. Оскільки ці сайти рідко використовують рекламу, щоб покрити витрати на хостинг, велика навантаженість рахунків за високошвидкісний трафік може зробити спам занадто дорогим, сказав пан Поллманн. Сайти також уповільняться під масою запитів на дані. Попередні результати показують, що час відгуку деяких сайтів погіршився до 85%. Користувачі не повинні бути зареєстрованими користувачами Lycos, щоб завантажити та використовувати скрінсейвер. Під час роботи скрінсейвер показує веб-сайти, які отримують запити на дані. Скрінсейвер планується запустити по всій Європі 1 грудня, а раніше він був тільки протестований у Швеції. Незважаючи на м'який запуск, пан Поллманн повідомив, що скрінсейвер був завантажений більше 20,000 разів за останні чотири дні. ""Існує величезний попит користувачів не лише на фільтрацію спаму з дня на день, але й на те, щоб зробити щось більше"", – сказав він. ""Раніше користувачі ніколи не мали можливості бути трохи більш агресивними""."
